Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm)
2017-01-01,993.2962237762237,-3.3624475524475526,270.3195804195804,-7.272097902097903,74.95335664335664,4.881888111888112,3.554685314685315,1.3274125874125873,2.2293706293706292,3.58006993006993,1281.0051748251747,0.8860139860139861,1.6058041958041958,178.8674125874126,0.0,0.0,58.551118881118875,90.9251048951049,94.17601398601398,10.09902097902098,443.8636363636364
2017-01-02,991.6122222222223,-0.7304166666666666,273.0872222222222,-2.93375,85.04722222222222,5.806527777777777,4.941736111111111,0.8640277777777778,3.1055555555555556,4.983125,1265.6215972222224,1.8780555555555556,3.3730555555555557,209.6361111111111,0.0020833333333333337,121.94444444444444,19.536597222222223,37.85930555555555,46.84527777777778,10.440555555555555,428.8826388888889
2017-01-03,992.5826388888888,1.3840972222222223,275.1300694444445,-1.9900694444444444,78.2125,6.762847222222223,5.280555555555555,1.4828472222222222,3.316111111111111,5.320555555555555,1256.9468055555556,2.3925694444444443,4.875902777777778,232.82986111111111,0.0,15.555555555555555,22.890138888888888,48.07618055555556,54.29680555555555,11.752083333333333,415.1145833333333
2017-01-04,981.1205555555555,2.290972222222222,276.95659722222223,-1.145486111111111,78.13763888888889,7.220208333333334,5.6305555555555555,1.5900694444444445,3.5776388888888886,5.739305555555556,1238.1483333333333,3.666111111111111,7.208125,250.67916666666667,0.010416666666666666,27.98611111111111,27.245416666666667,53.14368055555556,80.150625,11.856388888888889,411.56388888888887
2017-01-05,998.8961805555555,-3.516111111111111,269.735625,-6.855486111111111,77.93722222222222,4.745208333333333,3.6797222222222223,1.0659027777777779,2.295625,3.685416666666667,1288.820625,2.322013888888889,4.481527777777778,147.09229166666668,0.0076388888888888895,179.65277777777777,24.196597222222223,49.50125,58.52770833333333,8.594652777777778,413.4604166666667
2017-01-06,1012.5054861111112,-8.657569444444444,263.56388888888887,-12.078125,76.67861111111111,3.2103472222222225,2.4174305555555557,0.7931944444444444,1.4859027777777778,2.3872916666666666,1332.393125,0.9693055555555556,1.7046527777777778,194.0501388888889,0.0,0.0,57.0407638888889,100.864375,104.94138888888888,9.139652777777776,420.6472222222222
2017-01-07,1004.7094444444444,-8.054722222222223,264.755,-11.68548611111111,77.07868055555555,3.4501388888888886,2.5756944444444443,0.8742361111111111,1.5979166666666667,2.5659027777777776,1319.299236111111,1.7904166666666665,2.8825,186.77777777777777,0.0020833333333333337,132.01388888888889,23.830347222222223,51.952083333333334,57.037083333333335,8.335486111111111,424.6076388888889
2017-01-08,1000.9563888888889,-1.345902777777778,271.74,-2.070555555555556,94.78888888888889,5.572430555555555,5.282916666666667,0.2899305555555556,3.2885416666666667,5.276527777777778,1280.3175694444444,0.8549305555555555,1.5865277777777778,145.43666666666667,0.0020833333333333337,137.43055555555554,14.981666666666667,25.864652777777778,28.45902777777778,10.81423611111111,438.8590277777778
2017-01-09,998.390625,-0.510625,272.7757638888889,-2.527013888888889,86.61180555555556,5.885347222222222,5.097291666666667,0.7881944444444444,3.1810416666666668,5.103958333333334,1273.166875,1.3065277777777777,2.060763888888889,195.23729166666666,0.0,0.0,14.02173611111111,30.68548611111111,32.54895833333333,11.775694444444445,432.1763888888889
2017-01-10,986.4916666666666,-1.358611111111111,272.8616666666667,-5.1930555555555555,75.34423611111112,5.546805555555555,4.156458333333333,1.390486111111111,2.6244444444444444,4.213333333333334,1262.3684027777776,2.7681944444444446,4.274097222222222,177.85902777777778,0.0,0.0,57.990833333333335,106.16416666666666,110.00625,10.282222222222224,424.5138888888889
2017-01-11,981.5238194444444,-0.20819444444444446,274.41520833333334,-3.1456250000000003,80.51458333333333,6.090694444444444,4.908055555555555,1.1822222222222223,3.1191666666666666,5.004583333333333,1250.464097222222,3.9061805555555558,6.233055555555556,198.96805555555557,0.002777777777777778,21.180555555555557,23.809583333333332,50.82173611111111,64.86319444444445,10.080694444444443,421.44166666666666
2017-01-12,979.4477777777779,3.0279166666666666,277.83236111111114,-0.8985416666666666,75.839375,7.6125694444444445,5.726458333333333,1.8859722222222222,3.644861111111111,5.847708333333333,1232.6739583333333,2.3002083333333334,4.3313194444444445,217.89722222222224,0.015277777777777779,85.97222222222223,38.55777777777777,76.84201388888889,103.71229166666666,13.614375,412.62569444444443
